0:0:0:0:0:0:0:1 - - [10/May/2024:02:28:02 +0800] "GET /comp4321 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2024:02:28:03 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:02:28:03 +0800] "GET /comp4321/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:02:28:03 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:02:28:03 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:02:28:46 +0800] "GET /comp4321/apis/getData.jsp?input=test HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [10/May/2024:03:23:37 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:03:23:38 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:03:23:38 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:03:23:38 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 1569
0:0:0:0:0:0:0:1 - - [10/May/2024:03:23:38 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:03:25:47 +0800] "GET /comp4321/apis/getData.jsp?input=test HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [10/May/2024:03:25:48 +0800] "GET /comp4321/apis/getData.jsp?input=test HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [10/May/2024:03:25:48 +0800] "GET /comp4321/apis/getData.jsp?input=test HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [10/May/2024:03:25:48 +0800] "GET /comp4321/apis/getData.jsp?input=test HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [10/May/2024:05:15:17 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:05:15:35 +0800] "GET /comp4321/apis/getData.jsp?input=test HTTP/1.1" 500 19049
0:0:0:0:0:0:0:1 - - [10/May/2024:05:16:49 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:05:16:49 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:05:16:49 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:05:16:49 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:05:16:49 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:05:16:55 +0800] "GET /comp4321/apis/getData.jsp?input=test HTTP/1.1" 500 18779
0:0:0:0:0:0:0:1 - - [10/May/2024:05:18:51 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:05:18:51 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:05:18:51 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:05:18:51 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:05:18:52 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:05:18:57 +0800] "GET /comp4321/apis/getData.jsp?input=test HTTP/1.1" 500 22948
0:0:0:0:0:0:0:1 - - [10/May/2024:05:23:13 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:05:23:13 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:05:23:13 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:05:23:13 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:05:23:13 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
